序号,英文品牌名,slug,中文展示名,国家/地区中文,国家/地区英文,品牌类型,库存数量,优先级,品牌库状态,示例商品,品牌卡片短简介（30-50字）,品牌详情页简介（100-200字）,品牌背景/故事（可选）,风格特点（3-5个关键词）,代表系列/代表斗型,适合人群,资料来源URL 1,资料来源URL 2,审核状态（待填写/待核验/可入库/暂不展示）,备注
1,N?rding,nording,诺丁,,丹麦,,387,high,品牌库显示,,,,,,,,,,待填写,
2,Savinelli,savinelli,沙芬,,意大利,,222,high,品牌库显示,,,,,,,,,,待填写,
3,Chacom,chacom,查科姆,,法国,,155,high,品牌库显示,,,,,,,,,,待填写,
4,Peterson,peterson,彼得森,,爱尔兰,,141,high,品牌库显示,,,,,,,,,,待填写,
5,Vauen,vauen,华云,,德国,,137,high,品牌库显示,,,,,,,,,,待填写,
6,W.?. Larsen,w-o-larsen,W.?. 拉森,,丹麦,,115,high,品牌库显示,,,,,,,,,,待填写,
7,Dunhill,dunhill,登喜路,,英国,,110,high,品牌库显示,,,,,,,,,,待填写,
8,Rattray's,rattray-s,拉特雷,,苏格兰,,93,high,品牌库显示,,,,,,,,,,待填写,
9,Stanwell,stanwell,史丹威,,丹麦,,78,high,品牌库显示,,,,,,,,,,待填写,
10,BPK,bpk,BPK,,捷克,,54,high,品牌库显示,,,,,,,,,,待填写,
11,Falcon,falcon,猎鹰,,英国,,54,high,品牌库显示,,,,,,,,,,待填写,
12,Unknown Meerschaum,unknown-meerschaum,,,,,41,high,隐藏/不进品牌库,,,,,,,,,,待填写,
13,White Star Pipes,white-star-pipes,白星,,丹麦,,33,high,品牌库显示,,,,,,,,,,待填写,
14,Dagner Pipes,dagner-pipes,Dagner Pipes,,美国,,30,high,品牌库显示,,,,,,,,,,待填写,
15,Brebbia,brebbia,芭比,,意大利,,29,high,品牌库显示,,,,,,,,,,待填写,
16,Georg Jensen,georg-jensen,乔治·杰森,,丹麦,,28,high,品牌库显示,,,,,,,,,,待填写,
17,Kai Nielsen,kai-nielsen,凯·尼尔森,,丹麦,,26,high,品牌库显示,,,,,,,,,,待填写,
18,Nuttens Pipes,nuttens-pipes,Nuttens Pipes,,比利时,,26,high,品牌库显示,,,,,,,,,,待填写,
19,Johs Pipes,johs-pipes,Johs Pipes,,丹麦,,21,high,品牌库显示,,,,,,,,,,待填写,
20,BBB,bbb,BBB,,英国,,20,high,品牌库显示,,,,,,,,,,待填写,
21,Missouri Meerschaum,missouri-meerschaum,密苏里海泡石,,美国,,20,high,品牌库显示,,,,,,,,,,待填写,
22,Benner,benner,Benner,,丹麦,,19,high,品牌库显示,,,,,,,,,,待填写,
23,Peder Jeppesen,peder-jeppesen,吉普森,,丹麦,,19,high,品牌库显示,,,,,,,,,,待填写,
24,Berggreen Pipes,berggreen-pipes,贝格格林,,丹麦,,18,high,品牌库显示,,,,,,,,,,待填写,
25,Bay Denmark,bay-denmark,丹麦贝,,丹麦,,17,high,品牌库显示,,,,,,,,,,待填写,
26,Volkan,volkan,沃尔坎,,意大利,,17,high,品牌库显示,,,,,,,,,,待填写,
27,Hans Former Nielsen,hans-former-nielsen,佛么,,丹麦,,13,high,品牌库显示,,,,,,,,,,待填写,
28,Neerup,neerup,Neerup,,丹麦,,13,high,品牌库显示,,,,,,,,,,待填写,
29,Castello,castello,卡斯特罗,,意大利,,11,high,品牌库显示,,,,,,,,,,待填写,
30,George Boyadjiev,george-boyadjiev,博雅杰夫,,保加利亚,,11,high,品牌库显示,,,,,,,,,,待填写,
31,Suhr Pipes,suhr-pipes,苏尔,,丹麦,,11,high,品牌库显示,,,,,,,,,,待填写,
32,S?ren Refbjerg,soren-refbjerg,索伦,,丹麦,,10,high,品牌库显示,,,,,,,,,,待填写,
33,Tom Eltang,tom-eltang,汤姆·艾尔唐,,丹麦,,10,high,品牌库显示,,,,,,,,,,待填写,
34,Unbranded,unbranded,,,,,9,medium,隐藏/不进品牌库,,,,,,,,,,待填写,
35,Henri Pipes,henri-pipes,亨利,,丹麦,,8,medium,品牌库显示,,,,,,,,,,待填写,
36,Poul Winsl?w,poul-winslow,保罗·温斯洛,,丹麦,,7,medium,品牌库显示,,,,,,,,,,待填写,
37,Sara Eltang Pipes,sara-eltang-pipes,萨拉·艾尔唐,,丹麦,,7,medium,品牌库显示,,,,,,,,,,待填写,
38,TDPS,tdps,TDPS,,丹麦,,7,medium,品牌库显示,,,,,,,,,,待填写,
39,Anne Julie,anne-julie,安妮·朱莉,,丹麦,,6,medium,品牌库显示,,,,,,,,,,待填写,
40,Bentley by Former,bentley-by-former,,,,,6,medium,品牌库显示,,,,,,,,,,待填写,
41,Karl Erik,karl-erik,,,,,6,medium,品牌库显示,,,,,,,,,,待填写,
42,Ken Dederichs,ken-dederichs,,,,,6,medium,品牌库显示,,,,,,,,,,待填写,
43,Flávia Rodrigues,flavia-rodrigues,,,,,5,medium,品牌库显示,,,,,,,,,,待填写,
44,Ib Loran,ib-loran,,,,,5,medium,品牌库显示,,,,,,,,,,待填写,
45,Luiz Lavos,luiz-lavos,,,,,5,medium,品牌库显示,,,,,,,,,,待填写,
46,Molina,molina,,,,,5,medium,品牌库显示,,,,,,,,,,待填写,
47,Eltang Basic Pipe,eltang-basic-pipe,,,,,4,medium,品牌库显示,,,,,,,,,,待填写,
48,Eriksen Keystone filter pipe,eriksen-keystone-filter-pipe,,,,,4,medium,品牌库显示,,,,,,,,,,待填写,
49,Nanna Ivarsson,nanna-ivarsson,,,,,4,medium,品牌库显示,,,,,,,,,,待填写,
50,Tao,tao,,,,,4,medium,品牌库显示,,,,,,,,,,待填写,
51,Herriot Pipes,herriot-pipes,,,,,3,medium,品牌库显示,,,,,,,,,,待填写,
52,Manduela,manduela,,,,,3,medium,品牌库显示,,,,,,,,,,待填写,
53,Poul Olsen,poul-olsen,,,,,3,medium,品牌库显示,,,,,,,,,,待填写,
54,Royal Copenhagen,royal-copenhagen,,,,,3,medium,品牌库显示,,,,,,,,,,待填写,
55,Tine Balleby,tine-balleby,,,,,3,medium,品牌库显示,,,,,,,,,,待填写,
56,Winsl?w Crown 200,winslow-crown-200,,,,,3,medium,品牌库显示,,,,,,,,,,待填写,
57,B. Madsen,b-madsen,,,,,2,low,品牌库显示,,,,,,,,,,待填写,
58,Barling,barling,,,,,2,low,品牌库显示,,,,,,,,,,待填写,
59,Bjarne,bjarne,,,,,2,low,品牌库显示,,,,,,,,,,待填写,
60,Charatan's,charatan-s,,,,,2,low,品牌库显示,,,,,,,,,,待填写,
61,Comoy's,comoy-s,,,,,2,low,品牌库显示,,,,,,,,,,待填写,
62,Dollar Kapten Pipe,dollar-kapten-pipe,,,,,2,low,品牌库显示,,,,,,,,,,待填写,
63,Mr. Andersen,mr-andersen,,,,,2,low,品牌库显示,,,,,,,,,,待填写,
64,Nording - Hunting Pipe 2021,nording-hunting-pipe-2021,,,,,2,low,品牌库显示,,,,,,,,,,待填写,
65,Nording Hunting Pipe 2022,nording-hunting-pipe-2022,,,,,2,low,品牌库显示,,,,,,,,,,待填写,
66,Ropp,ropp,,,,,2,low,品牌库显示,,,,,,,,,,待填写,
67,S. Bang,s-bang,,,,,2,low,品牌库显示,,,,,,,,,,待填写,
68,Ashton,ashton,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
69,Ashton for Paul Olsen,ashton-for-paul-olsen,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
70,Benni J?rgensen,benni-jorgensen,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
71,Butz-Choquin,butz-choquin,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
72,Celius,celius,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
73,Dagner,dagner,,,美国,,1,low,品牌库显示,,,,,,,,,,待填写,
74,Eltang Basic,eltang-basic,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
75,Finn Andersen,finn-andersen,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
76,Flemming,flemming,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
77,Hartmann,hartmann,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
78,Holtorp,holtorp,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
79,Jakobsen,jakobsen,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
80,Ken Pipes,ken-pipes,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
81,Kriswill,kriswill,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
82,KS Pipe,ks-pipe,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
83,Lasse Skovgaard,lasse-skovgaard,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
84,Leopold,leopold,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
85,Lyst Danmark,lyst-danmark,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
86,Masta,masta,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
87,Nording Compass,nording-compass,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
88,Nording Hunting Pipe 2023,nording-hunting-pipe-2023,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
89,Nording Keystone/Shorty,nording-keystone-shorty,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
90,Parker,parker,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
91,Paul Olsen,paul-olsen,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
92,Peter Heding,peter-heding,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
93,Pipe Key Ring,pipe-key-ring,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
94,Pipepack,pipepack,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
95,Rattray's The Witch Brushed Red 200,rattray-s-the-witch-brushed-red-200,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
96,Rattray's The Witch Brushed Red 201,rattray-s-the-witch-brushed-red-201,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
97,Rattray's The Witch Brushed Red 202,rattray-s-the-witch-brushed-red-202,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
98,Rattray's The Witch Brushed Red 203,rattray-s-the-witch-brushed-red-203,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
99,Rattray's The Witch Brushed Red 204,rattray-s-the-witch-brushed-red-204,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
100,Rattray's The Witch Brushed Red 205,rattray-s-the-witch-brushed-red-205,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
101,SON (Nording),son-nording,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
102,Svendborg,svendborg,,,,,1,low,品牌库显示,,,,,,,,,,待填写,
