序号,英文品牌名,slug,中文展示名,国家/地区中文,国家/地区英文,品牌类型,库存数量,优先级,品牌库状态,示例商品,品牌卡片短简介（30-50字）,品牌详情页简介（100-200字）,品牌背景/故事（可选）,风格特点（3-5个关键词）,代表系列/代表斗型,适合人群,资料来源URL 1,资料来源URL 2,审核状态（待填写/待核验/可入库/暂不展示）,备注
1,Nørding,nording,诺丁,丹麦,Denmark,工坊/量产兼具,387,high,品牌库显示,,丹麦自由式代表品牌之一，强调大胆造型、石楠纹理与手工感。｜EN: Danish freehand pipes known for bold shapes and expressive briar grain.,Nørding 由 Erik Nørding 创立，是丹麦自由式烟斗的重要代表。品牌产品从经典手工斗到 Compass、Keystone、Hunting Pipe 等系列都有覆盖，整体更重视石楠木天然形态、纹理走向和个性化外观，适合喜欢丹麦风格与自然造型的玩家。,品牌源自 Erik Nørding 1950 年代末的制斗爱好，后来发展为多代参与的家族事业。1960—70 年代丹麦 Freehand 风潮兴起，Nørding 凭借自由式造型和较强生产能力被国际市场认识。,丹麦自由式；造型大胆；Plateau木料；纹理表现；实验设计,Freehand；Hunting Pipe,喜欢个性造型、丹麦自由式和大斗钵的玩家,https://www.nordingpipes.com/,https://www.nordingpipes.com/pipes/freehand,可入库,
2,Savinelli,savinelli,沙芬,意大利,Italy,量产品牌,222,high,品牌库显示,,意大利代表性烟斗品牌，型号清晰、系列丰富，适合从新手到进阶玩家。｜EN: Iconic Italian pipes with clear shape numbers and broad series choices.,Savinelli 是意大利最具代表性的烟斗品牌之一，源头可追溯至 1876 年米兰烟具店。品牌优势在于成熟稳定的产品体系：经典斗型多、系列层级清晰、价格覆盖广，从日常使用到高阶手工线都有选择。,1876 年 Achille Savinelli Sr. 在米兰大教堂附近开设烟具专门店。二战后，Achille Savinelli Jr. 推动品牌进入制斗生产阶段，使 Savinelli 成为现代意大利烟斗工业的重要代表。,意式经典；型号清晰；量产稳定；选择丰富；入门友好,Roma；Autograph,新手、日常使用者、希望按型号选斗的进阶玩家,https://www.savinelli.it/rw2_en/our-story,https://www.savinelli.it/rw_en/savinelli-models,可入库,
3,Chacom,chacom,查科姆,法国,France,量产品牌,155,high,品牌库显示,,法国圣克洛德传统品牌，承接 Comoy 与 Chapuis 家族制斗脉络。｜EN: Traditional French pipes from Saint-Claude with Comoy-Chapuis heritage.,Chacom 是法国圣克洛德烟斗传统中的重要品牌，名称来自 Chapuis 与 Comoy 两个家族。品牌以法式经典斗型、稳定生产和亲民价位见长，适合作为了解法国石楠根烟斗体系的入口。,Chacom 品牌诞生于 1928 年，背后可追溯到 Comoy 家族与 Chapuis 家族在圣克洛德的制斗历史。圣克洛德长期被视为法国石楠根烟斗重镇，Chacom 也延续了这一地区的传统工艺。,法式传统；圣克洛德；经典斗型；价格友好；量产稳定,Chacom Royale；Chacom Atlas,想体验法国传统斗型、预算友好的新手与日常玩家,https://www.pipechacom.com/en/history.htm,https://www.smokingpipes.com/smokingpipesblog/single.cfm/post/the-history-chacom-and-comoys-london-part,可入库,
4,Peterson,peterson,彼得森,爱尔兰,Ireland,量产品牌,141,high,品牌库显示,,"爱尔兰经典烟斗品牌，以 System 系统斗、银饰军插和厚重英伦气质著称。｜EN: Classic Irish pipes known for System engineering, silver mounts and stout shapes.",Peterson 是爱尔兰最具辨识度的烟斗品牌之一，以 System 系统结构、P-Lip 烟嘴、银饰军插和厚实斗型闻名。品牌产品线覆盖日常系列、Sherlock Holmes、Deluxe System 等，适合喜欢传统气质和功能结构的玩家。,Peterson 的历史通常追溯至 19 世纪都柏林 Kapp 兄弟的烟具店，Charles Peterson 后来带来系统斗相关设计，使品牌形成独特技术标签。至今 Peterson 仍是爱尔兰烟斗文化的重要代表。,爱尔兰传统；System系统斗；P-Lip；银饰军插；厚重斗型,System Standard；Sherlock Holmes,新手、传统英式/爱尔兰风格爱好者、系统斗玩家,https://pipedia.org/wiki/Peterson,https://www.alpascia.com/moments/en/detail/61/peterson,可入库,
5,Vauen,vauen,华云,德国,Germany,量产品牌,137,high,品牌库显示,,"德国老牌烟斗厂，以严谨做工、9mm滤芯体系和现代设计见长。｜EN: Historic German pipes known for precision, 9mm filters and modern series.",VAUEN 是德国历史悠久的烟斗品牌，官方资料将其源头追溯至 1848 年纽伦堡。品牌以稳定加工、9mm 滤芯体系、现代外观和德式实用风格著称，在欧洲市场具有很高识别度。,1848 年 Karl Ellenberger 与 Carl August Ziener 在纽伦堡创办德国早期烟斗制造业务。1901 年与 Gebhard Ott 工厂合并后形成 VAUEN 名称来源，品牌长期延续纽伦堡制造传统。,德式严谨；9mm滤芯；现代设计；做工稳定；入门友好,Auenland；Classic,偏好滤芯系统、日常使用和现代外观的玩家,https://www.vauen.com/company.html,https://pipedia.org/wiki/VAUEN,可入库,
6,W.Ø. Larsen,w-o-larsen,W.Ø. 拉森,丹麦,Denmark,历史品牌/零售店系,115,high,品牌库显示,,哥本哈根传奇烟具店系品牌，与丹麦手工斗黄金年代关系密切。｜EN: Legendary Copenhagen tobacconist linked to Denmark’s handmade pipe tradition.,W.Ø. Larsen 是丹麦哥本哈根著名烟具店与品牌名，历史上与丹麦手工烟斗黄金年代关系密切。其店铺和工作室曾聚集多位丹麦制斗师，市场上 Larsen 手工斗常被视为丹麦传统工坊体系的重要遗存。,W.Ø. Larsen 可追溯至哥本哈根老牌烟草/烟具业务。20 世纪中后期，其手工斗与丹麦设计风格一起受到国际关注，Former、Teddy Knudsen 等制斗师都与这一体系有联系。,丹麦传统；店铺系品牌；手工斗；自由式影响；收藏属性,Straight Grain；Hand Made,丹麦老斗收藏者、重视历史背景的进阶玩家,https://pipedia.org/wiki/W.%C3%98._Larsen,https://www.pipesandcigars.com/category/shop-by-brand/wo-larsen/,可入库,
7,Dunhill,dunhill,登喜路,英国,United Kingdom,高端传统品牌,110,high,品牌库显示,,英国经典高端烟斗品牌，以白点标识、严格分级和传统英式斗型闻名。｜EN: Classic high-end English pipes known for the White Spot and refined grading.,Dunhill / The White Spot 是英国烟斗传统中最具影响力的高端品牌之一。其产品以经典英式斗型、白点标识、手工整理、喷砂与光面分级著称，长期被许多收藏者视为英国烟斗工艺的重要标杆。,Alfred Dunhill 1907 年在伦敦开设烟草店，1910 年左右建立内部制斗工作室。白点最初用于帮助使用者辨认烟嘴方向，后来成为品牌极具辨识度的标志。,英式经典；白点标识；高端分级；喷砂工艺；收藏属性,Shell Briar；Bruyere,高预算玩家、英国经典斗收藏者、重视品牌体系的用户,https://whitespot.co.uk/history.asp,https://www.smokingpipes.com/smokingpipesblog/single.cfm/post/visiting-the-white-spot,可入库,
8,Rattray's,rattray-s,拉特雷,苏格兰,Scotland,品牌/委托生产,93,high,品牌库显示,,苏格兰烟草传统品牌，烟斗多以经典造型和欧洲代工体系呈现。｜EN: Scottish heritage brand offering classic pipes through European production.,Rattray’s 源于苏格兰 Perth 的烟草商传统，今日烟斗产品多围绕经典造型、装饰环和系列化设计展开。它不是典型单一工坊品牌，更适合作为带有苏格兰烟草文化背景的欧洲品牌线理解。,官方资料称 Charles Rattray 于 1911 年接手 Perth 的烟草店，以调配烟草闻名。后来 Rattray’s 将品牌延伸到烟斗和配件，现代产品由欧洲制造体系支持。,苏格兰传统；经典造型；系列化；装饰感；烟草品牌延伸,The Witch；Fachen,喜欢经典外观、品牌配件体系和日常价位的玩家,https://www.rattrays-pipes.com/en/,https://www.smokingpipes.com/pipes/new/Rattrays/,可入库,
9,Stanwell,stanwell,史丹威,丹麦,Denmark,量产品牌,78,high,品牌库显示,,丹麦代表性量产烟斗品牌，把丹麦设计带入更广泛的国际市场。｜EN: Major Danish pipe brand that brought Danish design to a broad audience.,Stanwell 是丹麦烟斗史中的关键品牌之一，以量产体系承接丹麦设计语言。它与 Sixten Ivarsson 等丹麦制斗师有深厚联系，将自由、更流动的丹麦斗型转化为可规模生产的产品。,Stanwell 的重要性在于把丹麦烟斗从小范围手工设计推向国际市场。其许多经典斗型来自丹麦制斗师合作设计，后期生产曾转至意大利，因此二手市场常区分丹麦产与意大利产时期。,丹麦设计；量产稳定；经典编号；自由曲线；二手常见,Royal Guard；Danish Design,想体验丹麦设计但预算相对理性的玩家,https://pipedia.org/wiki/Stanwell,https://www.smokingpipes.com/smokingpipesblog/single.cfm/post/stanwell-shapes-and-origins,可入库,
10,BPK,bpk,BPK,捷克,Czech Republic,量产品牌,54,high,品牌库显示,,捷克传统烟斗品牌，主打亲民石楠烟斗，也可见海泡石等材质选择。｜EN: A Czech pipe brand known for affordable briar pipes and practical everyday options.,BPK 是捷克烟斗品牌，公开资料显示其定位偏亲民实用，产品以石楠烟斗为主，也可见海泡石等材质。它更适合作为入门或日常使用品牌展示，不宜过度强调高端收藏属性。,Pipedia 将 BPK 归入捷克品牌，并描述为有传统的经济型品牌，主要以工厂化生产和出口为主。品牌故事资料不多，建议以“捷克实用品牌”角度呈现。,捷克制造；价格亲民；石楠烟斗；入门实用,Classic Briar；Meerschaum,预算有限的新手、日常使用型用户,https://pipedia.org/wiki/BPK,https://pipedia.org/wiki/Pipe_Brands_/_Makers,可入库,已复核 Pipedia 条目，可入库；定位应保持亲民实用，不夸大历史。
